current_testbench:0,bench_task_count:726,bench_commit_size(bytes):17760.
task_id:0,task_count:1,task_commit_size(bytes):0.
task_id:1,task_count:7,task_commit_size(bytes):224.
task_id:2,task_count:360,task_commit_size(bytes):11520.
task_id:3,task_count:90,task_commit_size(bytes):2880.
task_id:4,task_count:90,task_commit_size(bytes):0.
task_id:5,task_count:80,task_commit_size(bytes):0.
task_id:6,task_count:80,task_commit_size(bytes):2560.
task_id:7,task_count:8,task_commit_size(bytes):256.
task_id:8,task_count:10,task_commit_size(bytes):320.
current_testbench:1,bench_task_count:905,bench_commit_size(bytes):19888.
task_id:0,task_count:1,task_commit_size(bytes):0.
task_id:1,task_count:8,task_commit_size(bytes):176.
task_id:2,task_count:128,task_commit_size(bytes):2816.
task_id:3,task_count:128,task_commit_size(bytes):2816.
task_id:4,task_count:128,task_commit_size(bytes):2816.
task_id:5,task_count:128,task_commit_size(bytes):2816.
task_id:6,task_count:128,task_commit_size(bytes):2816.
task_id:7,task_count:128,task_commit_size(bytes):2816.
task_id:8,task_count:128,task_commit_size(bytes):2816.
current_testbench:2,bench_task_count:1025,bench_commit_size(bytes):4096.
task_id:0,task_count:1,task_commit_size(bytes):0.
task_id:1,task_count:1024,task_commit_size(bytes):4096.
current_testbench:3,bench_task_count:927,bench_commit_size(bytes):355100.
task_id:0,task_count:1,task_commit_size(bytes):0.
task_id:1,task_count:256,task_commit_size(bytes):135680.
task_id:2,task_count:256,task_commit_size(bytes):0.
task_id:3,task_count:128,task_commit_size(bytes):67840.
task_id:4,task_count:30,task_commit_size(bytes):15900.
task_id:5,task_count:128,task_commit_size(bytes):67840.
task_id:6,task_count:128,task_commit_size(bytes):67840.
current_testbench:4,bench_task_count:2212,bench_commit_size(bytes):234366.
task_id:0,task_count:1,task_commit_size(bytes):0.
task_id:1,task_count:86,task_commit_size(bytes):9116.
task_id:2,task_count:2125,task_commit_size(bytes):225250.
current_testbench:5,bench_task_count:5050,bench_commit_size(bytes):1029996.
task_id:0,task_count:1,task_commit_size(bytes):0.
task_id:1,task_count:4950,task_commit_size(bytes):1009800.
task_id:2,task_count:99,task_commit_size(bytes):20196.
